,tpr,fpr,taus
439,0.9837,6.656704772208076e-66,0.878
440,0.983,1.4021388324921899e-66,0.88
441,0.9821,2.929387277746691e-67,0.882
442,0.9811,6.070388643410361e-68,0.884
443,0.9791,1.2476995408745976e-68,0.886
444,0.978,2.5436492759116907e-69,0.888
445,0.9772,5.143491474663204e-70,0.89
446,0.9752,1.0316022621048018e-70,0.892
447,0.9736,2.052201033692337e-71,0.894
448,0.9724,4.049307545346899e-72,0.896
449,0.97,7.924917671752399e-73,0.898
450,0.9669,1.538373479790479e-73,0.9
451,0.9632,2.96197734764393e-74,0.902
452,0.9595,5.656587382319518e-75,0.904
453,0.9551,1.0714699235409539e-75,0.906
454,0.949,2.0130663292325782e-76,0.908
455,0.9419,3.751359635297518e-77,0.91
456,0.9365,6.933806781318438e-78,0.912
457,0.928,1.2711801159748235e-78,0.914
458,0.9194,2.311504123150763e-79,0.916
459,0.898,4.169023909769772e-80,0.918
460,0.886,7.458064559688549e-81,0.92
461,0.8726,1.3233351212773749e-81,0.922
462,0.8554,2.3289780572590083e-82,0.924
463,0.8388,4.0654883743452814e-83,0.926
464,0.8199,7.039012415664789e-84,0.928
465,0.8014,1.2088219391962154e-84,0.93
466,0.7804,2.0590383952485702e-85,0.932
467,0.7584,3.478708046229397e-86,0.934
468,0.7334,5.829386628955869e-87,0.936
469,0.7079,9.689000971596505e-88,0.9380000000000001
470,0.6797,1.5972993607951566e-88,0.9400000000000001
471,0.6482,2.6118289777829874e-89,0.9420000000000001
472,0.6187,4.235982674804476e-90,0.9440000000000001
473,0.5821,6.814195004729609e-91,0.9460000000000001
474,0.5471,1.0872409648181058e-91,0.9480000000000001
475,0.5148,1.7206314154508675e-92,0.9500000000000001
476,0.4765,2.7008508734810668e-93,0.9520000000000001
477,0.4394,4.204980690864315e-94,0.9540000000000001
478,0.4033,6.493487018721898e-95,0.9560000000000001
479,0.3701,9.945862389532614e-96,0.9580000000000001
480,0.3354,1.5109752244578017e-96,0.96
481,0.2988,2.2767880238272723e-97,0.962
482,0.2641,3.402813461573193e-98,0.964
483,0.2312,5.044334836955674e-99,0.966
484,0.2016,7.416855618273967e-100,0.968
485,0.1739,1.0816476965960663e-100,0.97
486,0.1446,1.564594704761497e-101,0.972
487,0.1187,2.244749269679351e-102,0.974
488,0.0953,3.194358936406349e-103,0.976
489,0.0741,4.508680066808274e-104,0.978
490,0.0559,6.31196948818681e-105,0.98
491,0.042,8.764558978762498e-106,0.982
492,0.0282,1.2071045563781552e-106,0.984
493,0.0185,1.64895686399415e-107,0.986
494,0.0114,2.234206058904797e-108,0.988
495,0.0064,3.002524927702673e-109,0.99
496,0.0035,4.0022058852062114e-110,0.992
497,0.0017,5.2912902068378884e-111,0.994
498,0.0006,6.938618840007024e-112,0.996
499,0.0002,9.024719629854968e-113,0.998
500,0.0,1.1642428757857655e-113,1.0
